"Nid","Title","Author uid","Background","Date","Description","Manuscript Link","Manuscript Title","Selected Bibliography","Script","Path","Post date","Updated date","Published status"
"3574","Giuseppe Gualdi's Diary","99650","","1651","<p style=""font-size: 0.3em;""> </p>
<p>Los Angeles, Getty MS 850961</p>
<p style=""margin-left:.25in;"">Giuseppe Gualdi</p>
<p style=""margin-left:.25in;""><em>Giuseppe Gualdi's Diary</em></p>
<p style=""margin-left:.25in;"">Italy, between 1651 and 1655</p>
<p style=""font-size: 0.1em;""> </p>
<table border=""0.5"" cellpadding=""1"" cellspacing=""1"" style=""width: 200px; background-color:#F8F8F8;""><tbody><tr><td>Go to <a href=""https://italian-paleography.library.utoronto.ca/content/transcript_IP_322"" style=""font-weight:300;"" target=""_blank"">Transcription</a><br />
			Go to <a href=""https://italian-paleography.library.utoronto.ca/islandora/object/italianpaleography%3AIP_322"" style=""font-weight:300;"" target=""_blank"">Manuscript</a> page</td>
</tr></tbody></table><p style=""font-size: 1em""> </p>
","","Giuseppe Gualdi's Diary
","","<p style=""font-size: 0.3em;""> </p>
<p>Corsiva professionale (1654) ricca di elementi ornamentali e lettere ingrandite.</p>
<p>Da notare: la <em>t</em> eseguita in un sol tempo (r. 5: <em>tempo</em>); la doppia <em>z</em> sovramodulata (r.7: <em>mezzo</em>); legamento <em>ti</em> (r. 8: <em>continuata</em>).</p>
<p align=""right"">- Maddalena Signorini</p>
<p> </p>
","/content/about_IP_322","Monday, May 6, 2019 - 23:09","Saturday, December 7, 2019 - 01:25","Yes"
"3569","Account Book of Santa Maria degli Alberighi in Florence","99650","","1501","<p style=""font-size: 0.3em;""> </p>
<p style=""font-weight:300;"">University of California Berkeley, BANC MS UCB 54</p>
<p style=""margin-left:.25in; font-weight:300;""><em>Account Book of Santa Maria degli Alberighi in Florence</em></p>
<p style=""margin-left:.25in; font-weight:300;"">Florence, between 1501 and 1542</p>
<p style=""font-size: 0.1em;""> </p>
<table border=""0.5"" cellpadding=""1"" cellspacing=""1"" style=""width: 200px; background-color:#F8F8F8;""><tbody><tr><td>Go to <a href=""https://italian-paleography.library.utoronto.ca/content/transcript_IP_321"" style=""font-weight:300;"" target=""_blank"">Transcription</a><br />
			Go to <a href=""https://italian-paleography.library.utoronto.ca/islandora/object/italianpaleography%3AIP_321"" style=""font-weight:300;"" target=""_blank"">Manuscript</a> page</td>
</tr></tbody></table><p style=""font-size: 1em""> </p>
","","Account Book of Santa Maria degli Alberighi in Florence
","","","/content/about_IP_321","Monday, May 6, 2019 - 23:07","Saturday, December 7, 2019 - 01:06","Yes"
"3567","Inventory of Buildings Selected by Michelangelo to be Demolished","99650","<p style=""font-size: 0.3em;""> </p>
<p>Assigned to Michelangelo on April 6, 1529, by the Nove della Milizia association, this project of architectural evaluation was a response to the growing threat of a military takeover and was designed to overturn the Florentine republic and restore the rule of the Medici family. Michelangelo’s task was to determine the value of houses, churches, and other buildings that made up the borghi—suburbs located outside the official city walls that contained many artisanal workshops and facilitated cultural and economic interactions with travelers. Despite their great value, the borghi needed to be destroyed so that land surrounding the walls would be clear for one mile, offering a clear view for the Florentine military and eliminating any potential refuge for an invading imperial army. This record would indicate the value of each building that needed to be destroyed in order to determine the compensation owed to Florentines.</p>
<p>This document is comprised of two different fascicles, though within these there is inconsistent pagination which implies that the record is incomplete. Michelangelo’s account has 239 evaluations of individual houses and goes into detail about the location of each property, information about the owner, physical description and measurements of the property, and an estimate of each building’s compensation value. In addition to private homes, the account assesses farms, taverns, workshops, hospitals, and religious buildings. The document provides a detailed record of properties that were important to Florence’s urban development but ultimately did not survive.</p>
<p align=""right"">- Madeline Klein and Ella Anderson</p>
<p align=""right""> </p>
","1529","<p style=""font-size: 0.3em;""> </p>
<p style=""font-weight:300;"">Los Angeles, The Getty Research Institute, MS 860787</p>
<p style=""font-weight:300; margin-left:.25in;""><em>Inventory of Buildings Selected by Michelangelo to be Demolished</em></p>
<p style=""font-weight:300; margin-left:.25in;"">Italy, between 1529 and 1530</p>
<p style=""font-size: 0.1em;""> </p>
<table border=""0.5"" cellpadding=""1"" cellspacing=""1"" style=""width: 200px; background-color:#F8F8F8;""><tbody><tr><td>Go to <a href=""https://italian-paleography.library.utoronto.ca/content/transcript_IP_320"" style=""font-weight:300;"" target=""_blank"">Transcription</a><br />
			Go to <a href=""https://italian-paleography.library.utoronto.ca/islandora/object/italianpaleography%3AIP_320"" style=""font-weight:300;"" target=""_blank"">Manuscript</a> page</td>
</tr></tbody></table><p style=""font-size: 1em""> </p>
","","Inventory of Buildings Selected by Michelangelo to be Demolished
","<p style=""font-size: 0.3em;""> </p>
<ul><li style=""font-weight:300; color:black;"">Guido Rebecchini, “Beyond Florence’s Walls: A List of Evaluations of Buildings to Be Demolished during 1529 to 1530” <em>Getty Research Journal</em> 3 (2011): 165-170.</li>
</ul><p> </p>
","","/content/about_IP_320","Monday, May 6, 2019 - 23:06","Tuesday, August 3, 2021 - 15:51","Yes"
"3564","Agreement between Bernardo de Lazara and Pietro Calzetta for the Decoration of the Corpus Christi Chapel in Padua","99650","","1466","<p style=""font-size: 0.3em;""> </p>
<p>Los Angeles, The Getty Institute MS 900255</p>
<p style=""margin-left:.25in;""><em>Agreement between Bernardo de Lazara and Pietro Calzetta for the Decoration of the Corpus Christi Chapel in Padua</em></p>
<p style=""margin-left:.25in;"">Padua, 17 October 1466</p>
<p style=""font-size: 0.1em;""> </p>
<table border=""0.5"" cellpadding=""1"" cellspacing=""1"" style=""width: 200px; background-color:#F8F8F8;""><tbody><tr><td>Go to <a href=""https://italian-paleography.library.utoronto.ca/content/transcript_IP_319"" style=""font-weight:300;"" target=""_blank"">Transcription</a><br />
			Go to <a href=""https://italian-paleography.library.utoronto.ca/islandora/object/italianpaleography%3AIP_319"" style=""font-weight:300;"" target=""_blank"">Manuscript</a> page</td>
</tr></tbody></table><p style=""font-size: 1em""> </p>
","","Agreement between Bernardo de Lazara and Pietro Calzetta for the Decoration of the Corpus Christi Chapel in Padua
","","","/content/about_IP_319","Monday, May 6, 2019 - 23:05","Saturday, December 7, 2019 - 01:08","Yes"
"3560","Copy of Giovanni Boccaccio's Filostrato","99650","","1450","<p style=""font-size: 0.3em;""> </p>
<p>Bloomington IN, Lilly Library Poole 11</p>
<p style=""margin-left:.25in;"">Giovanni Boccaccio</p>
<p style=""margin-left:.25in;""><em>Copy of Giovanni Boccaccio's Filostrato</em></p>
<p style=""margin-left:.25in;"">Lombardy, between 1450 and 1475</p>
<p style=""font-size: 0.1em;""> </p>
<table border=""0.5"" cellpadding=""1"" cellspacing=""1"" style=""width: 200px; background-color:#F8F8F8;""><tbody><tr><td>Go to <a href=""https://italian-paleography.library.utoronto.ca/content/transcript_IP_318"" style=""font-weight:300;"" target=""_blank"">Transcription</a><br />
			Go to <a href=""https://italian-paleography.library.utoronto.ca/islandora/object/italianpaleography%3AIP_318"" style=""font-weight:300;"" target=""_blank"">Manuscript</a> page</td>
</tr></tbody></table><p style=""font-size: 1em""> </p>
","","Copy of Giovanni Boccaccio's Filostrato
","","","/content/about_IP_318","Monday, May 6, 2019 - 23:04","Saturday, December 7, 2019 - 01:19","Yes"
"3555","Legend of St. Blaise","99650","","1467","<p style=""font-size: 0.3em;""> </p>
<p>Berkeley, University of California Berkeley BANC MS UCB 10</p>
<p style=""margin-left:.25in;""><em>Legend of St. Blaise</em></p>
<p style=""margin-left:.25in;"">Tuscany, 1467</p>
<p style=""font-size: 0.1em;""> </p>
<table border=""0.5"" cellpadding=""1"" cellspacing=""1"" style=""width: 200px; background-color:#F8F8F8;""><tbody><tr><td>Go to <a href=""https://italian-paleography.library.utoronto.ca/content/transcript_IP_317"" style=""font-weight:300;"" target=""_blank"">Transcription</a><br />
			Go to <a href=""https://italian-paleography.library.utoronto.ca/islandora/object/italianpaleography%3AIP_317"" style=""font-weight:300;"" target=""_blank"">Manuscript</a> page</td>
</tr></tbody></table><p style=""font-size: 1em""> </p>
","","Legend of St. Blaise
","","","/content/about_IP_317","Monday, May 6, 2019 - 23:03","Saturday, December 7, 2019 - 01:28","Yes"
"3552","Religious Miscellany","99650","","1464","<p style=""font-size: 0.3em;""> </p>
<p style=""font-weight:300;"">Philadelphia, UPenn Ms. Codex 255</p>
<p style=""font-weight:300; margin-left:.25in;""><em>Religious Miscellany</em></p>
<p style=""font-weight:300; margin-left:.25in;"">Italy, between 1464 and ca. 1473</p>
<p style=""font-size: 0.1em;""> </p>
<table border=""0.5"" cellpadding=""1"" cellspacing=""1"" style=""width: 200px; background-color:#F8F8F8;""><tbody><tr><td>Go to <a href=""https://italian-paleography.library.utoronto.ca/content/transcript_IP_315"" style=""font-weight:300;"" target=""_blank"">Transcription</a><br />
			Go to <a href=""https://italian-paleography.library.utoronto.ca/islandora/object/italianpaleography%3AIP_315"" style=""font-weight:300;"" target=""_blank"">Manuscript</a> page</td>
</tr></tbody></table><p style=""font-size: 1em""> </p>
","","Religious Miscellany
","<p style=""font-size: 0.3em;""> </p>
<p>Item fully digitized <a href=""http://hdl.library.upenn.edu/1017/d/medren/9915808633503681"" target=""_blank"">here</a>.</p>
<p> </p>
","","/content/about_IP_315","Monday, May 6, 2019 - 23:02","Saturday, December 7, 2019 - 03:44","Yes"
"3550","The Art of Cooking","99650","<p style=""font-size: 0.3em;""> </p>
<p>Maestro Martino’s <em>Libro de Arte Coquinaria</em> is the first cookbook written in vernacular Italian bearing the name of its author.  It is considered the link between the anonymous culinary recipe collections of the thirteenth and fourteenth centuries and the culinary works of Messisbugo (1549), Romoli (1560), and Scappi (1570), the highest points of the culinary tradition of the Italian Renaissance.  Martino organizes his <em>Libro </em>into six chapters, with subchapters dedicated to Lent preparations: meat preparations, victuals of different kinds, sauces and relishes, tarts and savory pies, fritters (including egg preparations), and fish preparations.     </p>
<p>This is the second of four manuscripts of Martino’s work.  From the title of the first manuscript, today in an unknown private collection, we learn that he is working as chef of the Patriarch of Aquileia, Ludovico Trevisan, known for his love of food.  The production of the first manuscript was interrupted by the death of Trevisan in 1465.  The title of this second manuscript, held at the Library of Congress, states that Martino <em>was</em> working as chef (<em>coquo olim</em> / once chef) of the Patriarch of Aquileia.  A third copy, very similar in content to the second one, is at the Vatican Library.  The fourth manuscript, an expanded version of the initial work and produced in the first years of the sixteenth century, is at Riva del Garda’s (Italy) Municipal Archives.</p>
<p>The text of the <em>Libro de Arte Coquinaria</em> was widely disseminated in printed editions.  Bartolomeo Sacchi translated into Latin the <em>Libro de Arte Coquinaria</em> and used it in the chapters devoted to food preparations of his <em>De Honesta Voluptade et Valetudine</em> (1474), a book that defined health and wellbeing in the sixteenth century.  The text of the <em>Libro de Arte Coquinaria</em> was reproduced, without acknowledgement, in two other sixteenth-century cookbooks printed in vernacular Italian: the <em>Opera Noua Chiamata Epulario,</em> printed in Venice, which had 50 editions between 1516 and 1700, and the <em>Opera Dignissima,</em> printed in Milan in the 1530s.</p>
<p align=""right"">-Lino Mioni</p>
<p align=""right""> </p>
","1360","<p style=""font-size: 0.3em;""> </p>
<p>Washington DC, Library of Congress TX723 .M3 1460</p>
<p style=""margin-left:.25in;"">Maestro Martino</p>
<p style=""margin-left:.25in;""><em>The Art of Cooking</em></p>
<p style=""margin-left:.25in;"">Italy, between 1460 and 1480</p>
<p style=""font-size: 0.1em;""> </p>
<table border=""0.5"" cellpadding=""1"" cellspacing=""1"" style=""width: 200px; background-color:#F8F8F8;""><tbody><tr><td>Go to <a href=""https://italian-paleography.library.utoronto.ca/content/transcript_IP_314"" style=""font-weight:300;"" target=""_blank"">Transcription</a><br />
			Go to <a href=""https://italian-paleography.library.utoronto.ca/islandora/object/italianpaleography%3AIP_314"" style=""font-weight:300;"" target=""_blank"">Manuscript</a> page</td>
</tr></tbody></table><p style=""font-size: 1em""> </p>
","","The Art of Cooking
","","","/content/about_IP_314","Monday, May 6, 2019 - 23:01","Saturday, December 7, 2019 - 01:03","Yes"
"3546","Account Book on the Management of a Landed Estate","99650","","1455","<p style=""font-size: 0.3em;""> </p>
<p>Chicago, University of Chicago Library MS 1083</p>
<p style=""margin-left:.25in;""><em>Account Book on the Management of a Landed Estate</em></p>
<p style=""margin-left:.25in;"">Umbria, between 1455 and 1519</p>
<p style=""font-size: 0.1em;""> </p>
<table border=""0.5"" cellpadding=""1"" cellspacing=""1"" style=""width: 200px; background-color:#F8F8F8;""><tbody><tr><td>Go to <a href=""https://italian-paleography.library.utoronto.ca/content/transcript_IP_313"" style=""font-weight:300;"" target=""_blank"">Transcription</a><br />
			Go to <a href=""https://italian-paleography.library.utoronto.ca/islandora/object/italianpaleography%3AIP_313"" style=""font-weight:300;"" target=""_blank"">Manuscript</a> page</td>
</tr></tbody></table><p style=""font-size: 1em""> </p>
","","Account Book on the Management of a Landed Estate
","","<p style=""font-size: 0.3em;""> </p>
<p>f.3r: mercantesca svelta e abile, di modulo piccolo, ricca di legamenti e abbreviazioni.</p>
<p>Da notare: la <em>a</em> e la <em>e</em> finali con tratto orizzontale prolungato (par. 3, r. 5: <em>dela</em>; par. 5, r. 2: <em>de</em>); la <em>l</em> con attacco uncinato che può legare con lettera precedente (par. 1, r. mo(n)teagutello); la <em>u/v</em> angolare iniziale in un sol tempo con primo tratto molto sviluppato e andamento orario (par. 3, r. 4: <em>Ugubbio</em>); il legamento ch privo della parte inferiore della h, la qual lega dal basso con lettera seguente (par. 4, r. 4: <em>fachini</em>).</p>
<p>f.25r: italica elementare, spezzata e disarticolata, priva di allineamento.</p>
<p>Da notare: la <em>e</em> in un sol tempo con tratto mediano che può legare con lettera seguente (par. 7, r. 1: <em>secte</em>); la <em>g</em> con ampio occhiello inferiore (par. 1, r. 3: <em>agosto</em>); gli errori (par. 2, r. 2: <em>braciacia</em> per <em>bracia</em>).</p>
<p align=""right"">- Maddalena Signorini</p>
<p align=""right""> </p>
","/content/about_IP_313","Monday, May 6, 2019 - 22:59","Saturday, December 7, 2019 - 01:07","Yes"
"3543","The Flower of Battle","99650","<p style=""font-size: 0.3em;""> </p>
<p>Fiore Furlan dei Liberi da Premariacco (ca. 1350–before 1425) was a renowned swordsmith and fencing master at the court of Niccolò III d’Este (1383–1441; r. 1393–1441), marquis of Ferrara.  The present codex, commissioned by the marquis himself (indicated on fol. 1v), is one of four manuscripts to contain the text of the <em>Flower of Battle </em>(<em>Flos duellatorum</em> in Latin or <em>Fior di battaglia</em> in Italian): The J. Paul Getty Museum, Ms. Ludwig XV 13; The Morgan Library & Museum, MS M. 383; a copy owned by the Pisani-Dossi family in Corbetta, Italy; and Bibliothèque nationale de France, Ms. Latin 11269 (additional lost copies were once preserved in the Biblioteca Estense in Ferrara, as Ms. 84 and Ms. 110).  Niccolò may have wanted this text for its humanist educational value for himself and his three sons, who could have shared the spare copies.  The Getty volume begins with a prologue (fols. 1-2), followed by hand-to-hand combat (fols. 6-8v), then single combat on foot with dagger (fols. 8v-18v), with sword and longsword (fols. 19-35), with pole-ax (fols. 35v-37v), another page with the dagger (fols. 38-38v), with spear (fols. 39-40), and equestrian combat (fols. 41-47).  Pen and ink drawings (with limited washes or gold leaf) accompany the text in each of the surviving volumes.  The Getty volume is the most refined in terms of line, shading, and the rendering of figures three-dimensionally, followed by the Morgan and Pisani-Dossi volumes.  A poignant allegorical figure with seven aiming points on the body and four animal-virtues appears in each copy of the text (except the Morgan): the master must be a good judge of distance like the lynx (top), swift like a tiger (left), strong and balanced like an elephant (below), and brave like a lion (right).</p>
<p align=""right"">-Bryan Keene</p>
<p align=""right""> </p>
","1410","<p style=""font-size: 0.3em;""> </p>
<p style=""font-weight:300;"">Los Angeles, J. Paul Getty Museum Ms. Ludwig XV 13</p>
<p style=""margin-left:.25in; font-weight:300;""><em>The Flower of Battle</em></p>
<p style=""margin-left:.25in; font-weight:300;"">Venice, around 1410</p>
<p style=""font-size: 0.1em;""> </p>
<table border=""0.5"" cellpadding=""1"" cellspacing=""1"" style=""width: 200px; background-color:#F8F8F8;""><tbody><tr><td>Go to <a href=""https://italian-paleography.library.utoronto.ca/content/transcript_IP_312"" style=""font-weight:300;"" target=""_blank"">Transcription</a><br />
			Go to <a href=""https://italian-paleography.library.utoronto.ca/islandora/object/italianpaleography%3AIP_312"" style=""font-weight:300;"" target=""_blank"">Manuscript</a> page</td>
</tr></tbody></table><p style=""font-size: 1em""> </p>
","","The Flower of Battle
","<p style=""font-size: 0.3em;""> </p>
<ul><li style=""font-weight:300; color:black;"">Euw, Anton von, and Joachim M. Plotzek. <em>Di Handschriften der Sammlung Ludwig</em>, vol. IV. Cologne: Schnütgen-Museum, 1979, 282-288.</li>
<li style=""font-weight:300; color:black;"">Malpiero, Massimo. <em>Il Fiore di battaglia di Fiore dei Liberi da Cividale: Il Codice Ludwig XV 13 del J. Paul Getty Museum</em>. Campoformido: Ribis, 2006.</li>
<li style=""font-weight:300; color:black;"">Monschein, Ken. <em>The Knightly Art of Battle.</em> Los Angeles: The J. Paul Getty Museum, 2011.</li>
<li style=""font-weight:300; color:black;"">Scalini, Mario, ed. <em>A Bon Droyt: Spade di uomini liberi cavalieri e santi (Epées d’hommes libres, chevaliers et saints)</em>. Milan: Silvana Editoriale, 2007, 180-181.</li>
</ul><p style=""font-size: 0.3em;""> </p>
<p>Links to other illuminated copies of the <em>Flower of Battle</em>:</p>
<ul><li style=""font-weight:300; color:black;"">Bibliothèque nationale de France, <a href=""https://gallica.bnf.fr/ark:/12148/btv1b8514426f.r=Ms.%20latin%2011269?rk=21459;2"" target=""_blank"">Ms. Latin. 11269</a></li>
<li style=""font-weight:300; color:black;"">The J. Paul Getty Museum, <a href=""http://www.getty.edu/art/collection/objects/1443/unknown-fiore-furlan-dei-liberi-da-premariacco-il-fior-di-battaglia-italian-about-1410/"" target=""_blank"">Ms. Ludwig XV 13</a></li>
<li style=""font-weight:300; color:black;"">The Morgan Library & Museum, <a href=""https://www.themorgan.org/manuscript/77302"" target=""_blank"">MS M.338</a></li>
</ul><p style=""margin-left: 0.25in;""> </p>
","","/content/about_IP_312","Monday, May 6, 2019 - 22:58","Saturday, December 7, 2019 - 01:04","Yes"
