Nid,Title,Author uid,Background,Bibliography,Date,Description,English Translation,Manuscript Link,Manuscript Title,Path,Post date,Updated date,Published status
31,A nosseigneurs de la Cour des Aydes [calligraphy sample: mock legal document],1,"<p>This mock document presents an appeal supposedly brought to the <a href=""https://paleography.library.utoronto.ca/content/french-institutions"">Paris Cour des Aides</a> (Court of Aids) in a matter of debt inheritance. The scribe used the handwriting style of Louis Barbedor, author of two calligraphy copybooks. As a member of the corporation of <em>maîtres écrivains jurés</em> in Paris, Barbedor belonged to a group of experts who taught handwriting and also examined documents, signatures, and accounts suspected of forgery in the courts of justice. When the Parlement of Paris standardized handwriting models in 1633, Barbedor’s <em>lettre financière</em> (or <em>ronde</em>) was selected as one of the two standard scripts. Our later document thus exemplifies a script used in many kinds of official documents.</p>
<p>Here we find a complex fictional case, using improbable proper names based on the repetition of fundamental writing strokes (minims and curls). On behalf of the estate of Pierre de La Renouveauviere, Antoine de Mommiromouvant requests payment of 647 <em>livres </em>from Jacqueline de Vaumirouvieux to honor a debt contracted by her father, Edme de Guermouvois, and passed on to her upon his death. Jacqueline refuses to pay the sum, and presents evidence that Edme did incur a debt of 647 <em>livres</em>, but that the amount is owed to the royal treasury, rather than to Pierre's estate, because of Edme’s work as a tax collector in Vaumommoré and Sainct-Amour.</p>
<p>A model for this document, “A Nosseigneurs de Parlement,” appears in Barbedor’s large <em>Escritures financiere, et italienne-bastarde dans leur naturel</em>, first published in 1647. In the edition from circa 1660 that we have digitized, that plate appears on<a href=""https://paleography.library.utoronto.ca/islandora/object/paleography%3A527#page/16/mode/1up""> page 6</a>.</p>
<p align=""right"">- Caroline Prud’Homme and Carla Zecher</p>
<p> </p>
","<div>
<div>
<p>- Barbedor, Louis. <em>Les </em><em>escritures</em><em> </em><em>financiere</em><em>, </em><em>et</em><em> </em><em>italienne</em><em>-</em><em>bastarde</em><em> </em><em>da</em><em>ns</em><em> </em><em>leur</em><em> naturel... </em>Paris: Drevet, 1703 [Reprint, Basel: Holbein, 1945]. <br />
- Mediavilla, Claude. <em>Histoire de la </em><em>calligraphie</em><em> </em><em>française</em>. Paris: Albin Michel, 2006. On Barbedor, see pages 224-29.<br />
- Dupont-Ferrier, Gustave. <em>Études sur les institutions financières de la France à la fin du Moyen Âge</em>. Vol. 2:<em> Les finances extraordinaires et leur mécanisme</em>. Paris: Firmin-Didot, 1932.</p>
<p> </p>
</div>
</div>
",1663,"<p>17th century<br />
""A nosseigneurs de la Cour des Aydes [calligraphy sample: mock legal document]."" In <em>Choix artistique de modèles manuscrits des grands maîtres calligraphes français anciens et modernes</em><br />
Chicago, Newberry Library, VAULT Wing MS oversize ZW 11 .708,no. 1581</p>
<p> </p>
",,"http://paleography.library.utoronto.ca/islandora/object/paleography:418
",A nosseigneurs de la Cour des Aydes [calligraphy sample: mock legal document],/content/about_fp_002,"Thursday, June 4, 2015 - 09:52","Thursday, October 5, 2017 - 12:40",Yes
33,Aveu et dénombrement de la seigneurie de Taillepied,838,"<p>In medieval France, when a vassal gained possession of a fiefdom, generally through purchase or inheritance, he participated in an homage ceremony in which he pledged submission to his lord. Then, within 40 days, he was obligated to provide a written declaration -- an <em>aveu</em> -- confirming the homage. This document was often accompanied by a <em>dénombrement</em>, a detailed list of the possessions the vassal held from his lord, with a statement of each party's rights and obligations.</p>
<p>In the document presented here, vassal and lord both happen to be widows. Probably the <em>aveu</em> was made when Robine Bordinelle lost her husband Thomas Peigné, and thus gained possession of the fiefdom of Taillepied. Possibly due to old age or illness, Bordinelle deputized her son Pierre to perform in her name the ceremonies of homage and provide the <em>aveu et dénombrement</em> for each of Peigné's possessions.</p>
<p>The document opens with Pierre's <em>aveu</em> on behalf of his mother for the fiefdom of Taillepied, owned by Catherine de La Fontaine, lady of Verers and Taillepied, and widow of Jacques de Mainbier (fol. 1r). Next follows an extensive <em>dénombrement</em> pertaining to a long series of parcels of land (fol. 1v-16v).</p>
<p>For other examples of medieval homages, see <em><a href=""https://paleography.library.utoronto.ca/islandora/object/paleography%3A2074#237260ef-0a1b-4c61-9bf0-081244d8fb77"">Acte de foy et hommage au profit de noble homme Claude de Vignes, seigneur de la Vischardière</a></em>,<a href=""https://paleography.library.utoronto.ca/islandora/object/paleography:2069#e1b98cec-8850-4b9f-adc5-3a28ebbbb8ff""> <em>Hommage for fiefs</em></a>, and <a href=""https://paleography.library.utoronto.ca/islandora/object/paleography:2077#c9780d17-1aa3-4753-9499-20efb6ddd9bd"">Hommage de Jehan Vepres, dit le Moine, à son frère, pour un fief</a>.</p>
<div>
<hr align=""left"" size=""1"" width=""33%"" /><div id=""ftn1""><a href=""#_ftnref1"" name=""_ftn1"" title="""" id=""_ftn1"">[1]</a> <em>Commune</em> in Centre-Val-de-Loire, <em>département </em>Eure-et-Loir, arrondissement Châteaudun, <em>canton </em>Bonneval.
<p align=""right"">- Caroline Prud’Homme</p>
<p> </p>
</div>
</div>
","<p>- Bloch, Marc. <em>Feudal Society. </em>2 vols. London: Routledge & Kegan Paul, 1965.<br />
- Marion, Christophe. ""Les aveux et dénombrement du Vendômois : réalités et représentations (1311-1550)."" <em>Annales de Bretagne et Pays de l’Ouest </em>110, no. 3 (2003): 55-76.<br />
- Nieus, Jean-François, ed. <em>Le vassal, le fief et l’écrit. Pratiques d’écriture et enjeux documentaires dans le champ de la féodalité (XIe-XVe siècles). Actes de la journée d’étude organisée à Louvain-la-Neuve le 15 avril 2005</em>. Turnhout: Brepols, 2007.</p>
<p> </p>
",1490,"<p>Sancheville,<a href=""#_ftn1"" name=""_ftnref1"" title="""" id=""_ftnref1"">[1]</a> 18 May 1490<br /><em>Aveu et dénombrement des biens de la seigneurie de Taillepied tenus par Robine Bordinelle</em><br />
Chicago, Newberry Library, VAULT Case MS 123</p>
<p> </p>
",,"http://paleography.library.utoronto.ca/islandora/object/paleography:448
",Aveu et dénombrement de la seigneurie de Taillepied,/content/about_fp_012,"Tuesday, June 16, 2015 - 09:21","Thursday, October 5, 2017 - 12:41",Yes
34,Bail à cens de la seigneurie de Bonnabaud,838,"<p>There is no transcription available for this manuscript, but we invite you to post your own transcription to our <a href=""https://paleography.library.utoronto.ca/content/group-work"">Google group</a>, for discussion there and possible uploading to the site later on.</p>
<p>Click here for other <a href=""https://paleography.library.utoronto.ca/islandora/search/catch_all_fields_mt%3A%28Langeac%29?f%5b0%5d=-entity_type%3A%22node%22&sort=mods_originInfo_qualifier_approximate_dateIssued_s%20asc"">Langeac family documents</a>.</p>
<div>
<hr align=""left"" size=""1"" width=""33%"" /><div id=""ftn1""><a href=""#_ftnref1"" name=""_ftn1"" title="""" id=""_ftn1"">[1]</a> <em>Chef-lieu d’arrondissement</em> in Auvergne, <em>département</em> Puy-de-Dôme.</div>
</div>
<p> </p>
",,1604,"<p>Riom,<a href=""#_ftn1"" id=""_ftnref1"" name=""_ftnref1"" title="""">[1]</a> 10 May 1604<br /><em>Bail à cens de la seigneurie de Bonnabaud par François de Langeac à Jacques de Langeac et Ligier Audansson</em><br />
Chicago, Newberry Library, VAULT  Case MS 5027</p>
<p> </p>
",,"http://paleography.library.utoronto.ca/islandora/object/paleography:491
",Bail à cens de la seigneurie de Bonnabaud,/content/about_fp_055,"Tuesday, June 16, 2015 - 09:32","Thursday, February 25, 2016 - 12:37",Yes
35,Sentence du maître des requêtes de l'hôtel du roi concernant le moulin suzereain de François de Taillevis au lieu dit le Moulin de Bessé,838,"<p>There is no background essay available for this manuscript, but we invite you to post your own essay to our <a href=""https://paleography.library.utoronto.ca/content/group-work"">Google group</a>, for discussion there and possible uploading to the site later on.</p>
<p> </p>
",,1693,"<p>Paris, 5 September 1693<br /><em>Sentence du maître des requêtes de l’hôtel du roi concernant le moulin suzerain de François de taillevis au lieu-dit Moulin de Bessé</em><br />
Chicago, Newberry Library, VAULT Case MS 5299</p>
<p> </p>
",,"http://paleography.library.utoronto.ca/islandora/object/paleography:497
",Sentence du maître des requêtes de l'hôtel du roi concernant le moulin suzereain de François de Taillevis au lieu dit le Moulin de Bessé,/content/about_fp_061,"Tuesday, June 16, 2015 - 09:33","Thursday, February 25, 2016 - 12:04",Yes
36,"Bail du moulin de Les Roches-l'Evêque, 1593",838,"<p>There is no background essay available for this manuscript, but we invite you to post your own essay to our <a href=""https://paleography.library.utoronto.ca/content/group-work"">Google group</a>, for discussion there and possible uploading to the site later on.</p>
<div>
<hr align=""left"" size=""1"" width=""33%"" /><div id=""ftn1"">
<a href=""#_ftnref1"" name=""_ftn1"" title="""" id=""_ftn1"">[1]</a> <em>Commune</em> in the Centre region in France, <em>département</em> Loire-et-Cher, <em>arrondissement </em>Vendôme, <em>canton </em>Montoire-sur-le-Loire.
</div>
</div>
<p> </p>
",,1593,"<p>Lunay,<a href=""#_ftn1"" name=""_ftnref1"" title="""" id=""_ftnref1"">[1]</a> 2 July 1593</p>
<p><em>Bail du moulin de Les Roches-l’Évêque par Raphaël de Taillevis devant le notaire Gilles Vié</em></p>
<p>Chicago, Newberry Library, VAULT Case MS 5299</p>
<p> </p>
",,"http://paleography.library.utoronto.ca/islandora/object/paleography:468
","Bail du moulin de Les Roches-l'Evêque, 1593",/content/about_fp_032,"Tuesday, June 16, 2015 - 09:39","Tuesday, February 23, 2016 - 12:17",Yes
37,"Censier du seizième siècle pour la paroisse de Payns, bailliage de Troyes",838,"<p>There is no background essay available for this manuscript, but we invite you to post your own essay to our <a href=""https://paleography.library.utoronto.ca/content/group-work"">Google group</a>, for discussion there and possible uploading to the site later on.</p>
<div>
<hr align=""left"" size=""1"" width=""33%"" /><div id=""ftn1"">
<a href=""#_ftnref1"" name=""_ftn1"" title="""" id=""_ftn1"">[1]</a> <em>Commune</em> in Champagne-Ardenne<em>, département</em> Aube, <em>arrondissement </em>Troyes, <em>canton</em> Saint-Lyé.
</div>
</div>
<p> </p>
",,1579,"<p>Payns,<a href=""#_ftn1"" id=""_ftnref1"" name=""_ftnref1"" title="""">[1]</a> 1579<br /><em>Censier du seizième siècle pour la paroisse de Payns, bailliage de Troyes</em><br />
Chicago, Newberry Library, VAULT Case oversize MS 5098</p>
<p> </p>
",,"http://paleography.library.utoronto.ca/islandora/object/paleography:465
","Censier du seizième siècle pour la paroisse de Payns, bailliage de Troyes",/content/about_fp_029,"Tuesday, June 16, 2015 - 09:42","Tuesday, February 23, 2016 - 12:48",Yes
38,"Certified account rendered for vellum, ink and paper, furnished to the office of the King’s advocate at Toulouse from St. Martin’s day 1485 to October 1486, by Simon, ""marchant parcheminier""",838,"<p>There is no background essay available for this manuscript, but we invite you to post your own essay to our <a href=""https://paleography.library.utoronto.ca/content/group-work"">Google group</a>, for discussion there and possible uploading to the site later on.</p>
<div>
<hr align=""left"" size=""1"" width=""33%"" /><div id=""ftn1""><a href=""#_ftnref1"" name=""_ftn1"" title="""" id=""_ftn1"">[1]</a> Capital of the Midi-Pyrénées region, <em>département</em> Haute-Garonne.</div>
</div>
<p> </p>
",,1486,"<p>Toulouse,<a href=""#_ftn1"" name=""_ftnref1"" title="""" id=""_ftnref1"">[1]</a> 5 November 1486<br /><em>Certified account rendered for vellum, ink and paper, furnished to the office of the King’s advocate at Toulouse from St. Martin’s day 1486 to October 1486, by Simon, “marchant parcheminier”</em><br />
Chicago, Newberry Library, Wing MS ZW 1 .486</p>
<p> </p>
",,"http://paleography.library.utoronto.ca/islandora/object/paleography:463
","Certified account rendered for vellum, ink and paper, furnished to the office of the King’s advocate at Toulouse from St. Martin’s day 1485 to October 1486, by Simon, ""marchant parcheminier""",/content/about_fp_027,"Tuesday, June 16, 2015 - 09:47","Tuesday, February 23, 2016 - 12:57",Yes
39,Déclaration de Michel Mercier de tenue en bourgage de sa maison a Alencon,838,"<p>Noticing the words ""tient, confesse et advoue tenir"" and ""sont subjects faire foy et hommage,"" one might conclude that this document is an <em>aveu</em>, the written declaration a vassal in pre-modern France provided to his lord upon gaining possession of a fiefdom through purchase or inheritance. Yet this is not the case here, as the asset in question was not held by nobles; rather, the declaration comes from a free man, a <em>bourgeois</em>, living in a city.</p>
<p>In Normandy’s civil customs, free men could own land and buildings in cities such as Rouen, Bayeux, and Alençon, provided they paid a modest tax to the king every year. This type of ownership was called <em>bourgage</em> or <em>bourgage-alleu</em> (in this text, ""bourgaige et alleu""). Upon gaining posession of a property, new owners would provide a written declaration to the local tax collecting bureau specifying its location and boundaries, as well as the amount of the yearly tax to be paid and the amount of the fine to be incurred if they failed to pay.</p>
<p>Here, Michel Mercier and his siblings are inheriting from their father Pierre a house and a flour mill in the city of Alençon. The house is on the ""rue à la Personne"" and sits between the properties of the Langlois and the Du Bois families. The tax is set at 20 <em>sous tournois</em> to be paid to the <em>prévôté</em> of Alençon every year, on the Feast of the Nativity of the Virgin. The fine for non-payment would be 60 <em>sous tournois</em>.</p>
<p>The document, unsigned and undated, is most certainly a draft, written on a low-quality piece of parchment when Pierre Mercier died, at some point during the reign of King Henry III of France (1574-1589). Pierre's father, Jean, a merchant and breadmaker, had purchased the flour mill, so it had been in the Mercier family for two generations.</p>
<p>See the <a href=""/islandora/object/paleography%3A448#77cdc3fa-d8a9-498a-a57e-970c4fa914b8""><em>Aveu et dénombrement de la seigneurie de Taillepied</em></a> for an example of an <em>aveu</em> where the vassal Robine Bordinelle declares through her representative the possessions that she holds from her lord, Catherine de la Fontaine, lady of Vevers and Taillepied.</p>
<div>
<hr align=""left"" size=""1"" width=""33%"" /><div id=""ftn1""><a href=""#_ftnref1"" name=""_ftn1"" title="""" id=""_ftn1"">[1]</a> <em>Commune </em>in Lower Normandy, capital of the Orne <em>département</em>.
<p> </p>
</div>
</div>
","<p>- Dawes, G., ed. <em>Commise 1204. Studies in the History and Law of Continental and Insular Normandy</em>. Saint-Pierre-Port: The Guernsay Bar, 2005.<br />
- Génestal, Robert. <em>Étude sur la propriété foncière dans les villes normandes</em>. Paris: Librairie nouvelle de droit et de jurisprudence Arthur Rousseau, 1900.</p>
<p>On the Mercier family in Alençon, see:<br />
- Despierres, Gérasine Bonnaire. <em>Histoire du point d’Alençon depuis son origine jusqu’à nos jours</em>. Paris: Renouard, 1886.</p>
<ul></ul><p> </p>
",1574,"<p>Alençon,<a href=""#_ftn1"" name=""_ftnref1"" title="""" id=""_ftnref1"">[1]</a> between 1574 and 1589<br /><em>Déclaration de Michel Mercier de tenue en bourgage de sa maison à Alençon </em><br />
Chicago, Newberry Library, VAULT folio Greenlee MS 455</p>
<p> </p>
",,"http://paleography.library.utoronto.ca/islandora/object/paleography:455
",Déclaration de Michel Mercier de tenue en bourgage de sa maison a Alencon,/content/about_fp_019,"Tuesday, June 16, 2015 - 09:49","Monday, January 25, 2016 - 22:40",Yes
40,Charitable donation of land to benefit the poor of Quebec City,838,"<p>This document records the donation of 40 <em>arpents</em> of land on the Saint Lawrence River, to benefit the poor. The recipients of the donation were two nuns, representatives of a nursing Order, the Hospitallers of the Order of Saint Augustine, also known as the Daughters of Mercy. Mother Marie de Saint Bonaventure de Jésus (Marie Forestier, 1615-1698) was Superior of the Hospitallers of Quebec in 1665; she had been one of the three founders of the Hôtel-Dieu (hospital) there in 1639. Also accepting the donation on behalf of the poor was Sister Marie de la Nativité (Marie-Renée Boulée, 1630-1677).</p>
<p>The plots of land owned by settlers along the Saint Lawrence were long and narrow, to allow for as many properties as possible to front on the river. So the plot donated here, as explained in the document, was 2 <em>arpents</em> wide (some 100 meters of river-front) and 40 <em>arpents</em> deep (that is, extending quite far from the river, close to a mile and a half, as measured today). It bordered on land already managed by the Hospitallers, as well as on some land that had apparently not yet been granted to a settler. The document attaches certain conditions to the donation of the land, in that the Sisters were granted the use of it but were required to pay some taxes to the Lauson family.</p>
<p>The donor, Charles de Lauson de Charny (1629-1689), was the son of Jean de Lauson, who had been appointed governor of New France in 1651. In 1656 Jean returned to France and his son Charles served as acting governor for a brief time. However, Charles too returned to France, in 1657, following the death of his young wife. He became a priest and returned to Quebec a couple of years later, accompanying Monsignor de Laval, sent to be the first bishop of Quebec. Charles de Lauson remained in New France until 1671. Gradually, over the years, before his final departure from the colony, Charles divested himself of all of his holdings in New France. The 1665 donation of land to “the poor” came in the wake of his appointment the year before as ecclesiastical superior of the Hôtel-Dieu. By this time, as the document indicates, he was serving as guardian to the children of his older brother, Jean, who had been killed in 1661 during an attack by Iroquoian Indians on the Ile d’Orléans.</p>
<p>One of the signatories to this document, Jacques de la Metairie (“Lameterie”), would later accompany Cavelier de la Salle in his voyage of exploration along the Mississippi River.</p>
<p align=""right"">- Caroline Prud’Homme and Carla Zecher</p>
<p> </p>
","<p>On all of these historical figures, see the <a href=""http://www.biographi.ca/en/""><em>Dictionary of Canadian Biography</em></a>.</p>
<p> </p>
",1665,"<p>Quebec City, 31 July 1665<br /><em>Charitable donation of land to benefit the poor of Quebec City</em><br />
Chicago, Newberry Library, VAULT box Ayer MS 497</p>
<p> </p>
",,"http://paleography.library.utoronto.ca/islandora/object/paleography:473
",Charitable donation of land to benefit the poor of Quebec City,/content/about_fp_037,"Tuesday, June 16, 2015 - 09:51","Thursday, October 5, 2017 - 12:46",Yes
41,"Chroniques de Jean Froissart, vol. 1",838,"<p>Though Jean Froissart began his career as a poet and continued to compose verse works throughout his life, he is best known for his great historical work, the <em>Chroniques</em>. This monumental text is an account of the major events and battles that occurred in Western Europe from the ascension of King Edward III of England in 1327 up to the death of Edward’s grandson and successor, Richard II, in 1400.</p>
<p> </p>
<p>Froissart was born in Valenciennes around 1337. He entered the service of the counts of Hainault and later became a clerk of the court of Queen Philippa, wife of Edward III. In his role as clerk, he traveled frequently and undertook diplomatic missions on the queen’s behalf. After her death in 1369, Froissart returned to Hainault, where he began to chronicle the events of the previous half-century. The <em>Chroniques</em> draw on numerous existing historical sources (<em>Les</em> <em>Grandes Chroniques de France</em>, <em>Les</em> <em>Vrayes Chroniques de Jean le Bel</em>, <em>La Vie du Prince noir </em>by Herald Chandos, etc.) but Froissart also made extensive use of oral sources, namely vivid descriptions of events provided by participants and eyewitnesses.</p>
<p> </p>
<p>Wars, funerals, ceremonies, and royal entries feature prominently in the chronicle, indicating that it was primarily intended for an aristocratic audience. Over 100 manuscripts of the <em>Chroniques </em>survive today as a testimony to the text’s popularity in the later medieval period and to Jean Froissart’s reputation during his lifetime. Although it includes occasional errors in chronology and geography, Froissart’s <em>Chroniques</em> is still considered one of the most important sources for the history of Europe in the 14<sup>th</sup> century, especially the Hundred Years’ War.</p>
<p align=""right"">- Beth Woodward</p>
<p> </p>
","<p>-Ainsworth, Peter F., and Godfried Croenen, eds. <em>The Online Froissart.</em> Version 1.5. Sheffield: HRIOnline, 2013. <a href=""https://www.hrionline.ac.uk/onlinefroissart"">https://www.hrionline.ac.uk/onlinefroissart</a>. Last accessed July 26, 2017.</p>
<p>-Froissart, Jean. <em>Chroniques. Livre I (première partie, 1325-1350) et livre II: rédaction du manuscrit de New York, Pierpont Morgan Library M.804</em>. Edited by Peter F. Ainsworth and George T. Diller. Livre de poche; Lettres gothiques. Paris: Librairie générale française, 2001.</p>
<p>-Froissart, Jean. <em>Chroniques. Livre III</em> <em>: du voyage en Béarn à la campagne de Gascogne; et livre IV: années 1389-1400</em>. Ed. Peter F. Ainsworth and Alberto Vàrvaro. Livre de poche; Lettres gothiques. Paris: Librairie générale française, 2004.</p>
<p>-Lefèvre, Sylvie, and Gillette Tyl-Labory. “Jean Froissart.” In <em>Dictionnaire des lettres françaises</em>, ed. Georges Grente, Geneviève Hasenohr-Esnos, and Michel Zink. Paris: Fayard, 1994, 771-76. </p>
<p> </p>
",1425,"<p>Low Countries, 1425-1450<br /><em>Chroniques de Jean Froissart, vol. 1</em><br />
Chicago, Newberry Library, VAULT Folio Case MS 37.1</p>
<p> </p>
",,"http://paleography.library.utoronto.ca/islandora/object/paleography:458
","Chroniques de Jean Froissart, vol. 1",/content/about_fp_022,"Tuesday, June 16, 2015 - 09:52","Thursday, October 5, 2017 - 13:29",Yes
