"Nid","Title","Author UID","Body","Post Date","Updated Date","Published status","Path"
"2","Reference","251","<p>Reference material for French Renaissance Paleography.</p>","Thursday, April 3, 2014 - 16:37","Thursday, December 17, 2015 - 12:32","Yes","/reference"
"5","Resources","1","<p>Resources for French Renaissance Paleography.</p>","Thursday, April 10, 2014 - 15:53","Thursday, June 18, 2015 - 12:22","Yes","/resources"
"8","About French Documents","1","<p>In development.</p>","Wednesday, August 13, 2014 - 13:42","Friday, June 19, 2015 - 14:04","Yes","/types_of_documents"
"9","Codicology","1","<p>In development.</p>","Wednesday, August 13, 2014 - 13:43","Tuesday, December 8, 2015 - 12:26","No","/codicology"
"16","Interactive Map","100","<p>This interactive map, created by Emily Kelley, displays most of the manuscripts available on the French Renaissance Paleography site. Manuscripts with unknown coordinates are not available on this map. Click <a href=""/islandora/object/paleography:manuscripts"">here</a> for a full list of manuscripts contained within the French Renaissance Paleography site.</p>
<div>
<iframe title=""Interactive map"" allowfullscreen="""" frameborder=""0"" height=""520"" mozallowfullscreen="""" msallowfullscreen="""" oallowfullscreen="""" src=""https://frp.cartodb.com/viz/2ba1e24e-c5ff-11e5-bc97-0ef24382571b/embed_map""></iframe></div>","Thursday, October 9, 2014 - 10:18","Wednesday, April 10, 2019 - 11:47","Yes","/content/interactive-map"
"17","French Scripts and Hands","100","<p>Marc H. Smith. <a href=""http://www.palaeographia.org/glm/glm.htm?art=smith"">""Pour une préhistoire des écritures modernes.""</a> <em>La Gazette du livre médiéval </em>40 (printemps 2002): 1-13.</p>
<p>Marc H. Smith. <a href=""/sites/default/files/lackner_25_smith_279-298.pdf"">""L’écriture de la chancellerie de France au xiv<sup>e</sup> siècle : observations sur ses origines et sa diffusion en Europe.""</a> In <em>Régionalisme et internationalisme : problèmes de paléographie et de codicologie du Moyen Âge.</em> Ed. Frank Lackner and Otto Kresten. Vienna: Verlag der Österreichischen Akademie der Wissenschaten, 2008: 279-298.</p>
<p>Marc H. Smith.<a href=""/sites/default/files/les-gothiques-documentaires-un-carrefour-dans-l-histoire-de-l-ecriture-latine.pdf""> ""Les <em>gothiques documentaires</em> : un carrefour dans l'histoire de l'écriture latine.""</a> <em>Archiv für Diplomatik </em>50 (2004): 417-465.</p>","Thursday, October 9, 2014 - 10:18","Friday, February 26, 2016 - 14:31","Yes","/content/french-scripts-and-hands"
"18","About French Documents","100","<p>Here are some helpful links:</p>
<p><a href=""http://theleme.enc.sorbonne.fr/cours/diplomatique"">Notions de diplomatique</a> on the École des Chartes website.</p>
<p><a href=""http://www.cei.lmu.de/VID/"">Charters Encoding Intiative/Vocabulaire international de la diplomatique</a><br />
(Based on <em>Vocabulaire international de la diplomatique</em>. Ed. Maria Milagros Càrcel Ortí. València: Universitat de València, 1997.)</p>
<p>Section <a href=""http://www.menestrel.fr/spip.php?rubrique382&lang=fr"">Diplomatique</a> of the Ménestrel website.</p>","Thursday, October 9, 2014 - 10:19","Monday, February 8, 2016 - 16:51","Yes","/content/about-french-documents"
"19","Manuscript Preservation","100","<p>Manuscript materials from the Middle Ages and Renaissance encompass a variety of formats including bound volumes, letters, legal documents, calligraphic samples, and maps. The manuscripts themselves were written on paper or parchment, although associated bindings may have been in paper, leather, or vellum. While some documents may be written with pigments or gouache, during the late Middle Ages iron gall ink began to be widely used for handwritten documents as well as for artist’s drawings. Its indelibility also made it desirable for official legal records.</p>
<p>The preservation of early manuscripts requires consideration of their material composition. A stable storage environment is one of the most important factors in securing their longevity. The optimal environment will be a relatively constant temperature and humidity with very little fluctuation (Newberry Library conditions: 65 degrees Fahrenheit, 45 % Relative Humidity +/- 5%). Additionally, because the damaging effects of light are cumulative, light exposure should be minimized for these materials.</p>
<p>Manuscripts of this time period may exhibit preservation issues from years of handling and/ or improper storage. Some damage or degradation such as iron gall ink corrosion may require professional conservation treatment to prolong the life of the item. Other common preservation issues include tightly folded documents, planar distortion of parchment or paper, physical damage, restrictive openings of book bindings, flaking pigments.</p>
<p>Materials that were digitized in this website project were first reviewed by a conservator to identify preservation issues that would require treatment before their digitization. For example, folded documents required unfolding prior to digital capture. Documents and letters that have been folded for hundreds of years are not easy to unfold and may be damaged if attempts are made. In the case of these manuscripts, careful humidification and flattening was performed by a conservator.  Parchment materials, which are extremely hygroscopic, were examined for planar distortions. Distortions not only create issues for digital capture, they present serious preservation concerns for the conservator. Undulations in the page may result in flaking, loss, or lifting of the pigments used for writing. In such cases a conservator, working under a microscope, would perform time-consuming consolidation of the pigments. In addition to conservation of fragile materials prior to digitization, conservators worked with digitization staff to provide the best possible support for the bound codices to reduce stress on bindings during image capture.</p>
<p>Because even the least invasive conservation treatment alters the original manuscript, preventing deterioration of early manuscripts must be of utmost priority to the researcher as well the institutional depository. Proper storage for these materials as well as gentle handling by researchers will help to ensure these primary sources are preserved for future generations of scholars.</p>
<p>For more about preservation, see the website of the <a href=""http://www.conservation-us.org/"">American Institute for Conservation of Historic and Artistic Works</a>.</p>
<p>Lesa Dowd<br />
Director, Conservation Services<br />
The Newberry Library</p>","Thursday, October 9, 2014 - 10:19","Tuesday, February 9, 2016 - 16:00","Yes","/manuscript-preservation"
"21","Transcribing & Editing Conventions","100","<p><strong>Metadata</strong><br />
For our metadata schema, we have used <a href=""http://www.loc.gov/standards/mods/"">MODS</a>. Click <a href=""/sites/default/files/full_metadata_schema.png"">here</a> for a chart of our full schema.</p>
<p>We used controlled vocabulary for some of the metadata fields.<br />
Subjects field: <a href=""http://fast.oclc.org/searchfast/"">FAST</a><br />
Author/Contributor, Publisher, and Provenance fields: <a href=""http://id.loc.gov/search/?q=&q="">LC Name Authority File</a><br />
Language field: <a href=""http://id.loc.gov/vocabulary/iso639-2.html"">Iso639-2 Languages</a></p>
<p>For the Region field, we divided the territory of France into three parts: From Troyes northward is Northern France; Central France is the area between Troyes and Saint-Etienne; Southern France covers the rest of the territory. The complete geographical information (region, departement, <em>arrondissement</em>, <em>canton</em>, <em>commune</em>) for each manuscript appears in the Background Essays and Transcriptions.</p>
<p><strong>Transcriptions</strong><br />
We have used the following protocol for our partial transcriptions of the manuscripts presented in this website. We derived it from the “Conseils pour l’édition des textes de l’époque moderne (XVIe-XVIIIe siècle)” [see below], written by Bernard Barbiche and slightly revised by Marc Smith.</p>
<p>- Line breaks are indicated with a single vertical slash.<br />
- Paragraph breaks are indicated with a double vertical slash.<br />
- We have expanded abbreviations and used underlining to indicate what has been added, excepts in a few cases where it is not possible to know for certain what the scribe intended (for instance, ""led."" could be either ""ledict"" or ""ledit"").<br />
- Editorial additions are placed in square brackets.<br />
- We have indicated insertions with slanted slashes: <em><strong>\insertion/</strong></em>.<br />
- We have used caps where a word is highlighted in the original by the use of a particular script.<br />
- We have used caps for signatures, and very occasionally for emphasis.<br />
- We have placed textual annotations in endnotes using <strong>a, b, c</strong>.<br />
- We have placed historical and contextual commentary in footnotes using <strong>1, 2, 3</strong>.</p>
<p>~~~~~~~~~~~~~~~~~~~~</p>
<p><strong>Conseils pour l’édition des textes de l’époque moderne (XVI<sup>e</sup>-XVIII<sup>e</sup> siècle)</strong></p>
<p>Bernard Barbiche -- Version légèrement révisée par Marc Smith (2010). Les passages additionnels ou modifiés sont signalés par des soufflets < >.</p>
<p><em>Avertissement</em></p>
<p>Le texte qui suit reprend, sous une forme abrégée et remaniée, les conseils naguère publiés dans <em>L’Édition des textes anciens, XVI</em><em><sup>e</sup></em><em>-XVIII</em><em><sup>e</sup></em> <em>siècle, </em>sous la direction de Bernard Barbiche et Monique Chatenet (Paris : Inventaire général, 1990 ; 2<sup>e</sup> éd. 1993, coll. « Docu­ments et méthodes », 1). Sur certains points, il propose des normes légèrement différentes de celles qui avaient été primitivement énoncées, notamment en ce qui concerne l’accen­tuation des documents des XVI<sup>e</sup> et XVII<sup>e</sup> siècles. Ces modifications sont l’aboutissement d’une étude et d’une réflexion menées sur les imprimés d’époque. L’application des nouvelles règles ci-dessous préconisées devrait rendre plus facile et plus claire l’édition des textes de la première modernité.</p>
<p><strong>Une édition critique n’est pas une reproduction photographique.</strong> Elle résulte d’un compromis raisonnable entre, d’une part, le respect du texte à publier (dont on ne doit en aucun cas moderniser la graphie) et, d’autre part, le souci de le rendre aussi intelligible que possible pour un lecteur d’aujourd’hui. Un bon éditeur de textes doit faire preuve de constance, de rigueur et de bon sens.</p>
<p><strong>I.    L’établissement du texte</strong></p>
<p>Un texte peut nous être parvenu sous diverses formes : brouillon, minute, original, copie, enregistrement au départ ou à l’arrivée, édition ancienne, etc. C’est ce qu’on appelle la <strong>tradition</strong>. Une édition ancienne doit être traitée comme une copie manuscrite.</p>
<p><strong>1. </strong>Si l’on possède <strong>un seul état </strong>du texte, on le reproduit tel quel en signalant éventuellement les formes aberrantes qu’il présente à l’aide de crochets carrés [ ], de [<em>sic</em>] ou de notes. Avant de décréter qu’une forme est aberrante, on s’assurera que l’usage n’a pas évolué depuis l’époque considérée.</p>
<p><strong>2. </strong>Si l’on possède <strong>plusieurs états </strong>du texte<strong>, dont l’original </strong>ou <strong>les originaux</strong>, ce(s) dernier(s) ser(ven)t de base à l’édition. Il peut être utile de signaler en note les variantes que présentent certains autres états (minute, registre d’expédition au départ, édition ancienne).</p>
<p><strong>3. </strong>Si l’on possède <strong>plusieurs états </strong>du texte <strong>autres que l’original, </strong>on choisit celui qui est le plus proche de l’original et on signale en note les variantes que présentent les autres états par rapport au texte de base.</p>
<p><strong>4. </strong>Seules sont à retenir les <strong>variantes </strong>qui ont une incidence sur le sens du texte, à l’exclusion des particularités purement graphiques ou grammaticales.</p>
<p><strong>5. </strong>Si les <strong>variantes </strong>sont <strong>nombreuses, </strong>on les regroupe dans une série spéciale de notes appelées par des lettres. Si elles sont <strong>rares</strong>, on peut les inclure dans la série générale des notes appelées par des numéros.</p>
<p><strong>6. </strong>Si l’<strong>abondance des variantes </strong>est telle que l’annotation critique risque d’être trop complexe, on peut recourir à une présentation <des différents états> du texte en colonnes.</p>
<p><strong>7. </strong>Les <strong>additions et corrections </strong>marginales ou interlinéaires seront intégrées à leur place dans l’édition, mais leur présence et leur position seront signalées en note <ou par des signes d’insertion, tels que ` ´, ainsi que, éventuellement, les mots raturés, dans la mesure où ils sont lisibles>.</p>
<p><strong>8. </strong>Les <strong>annotations marginales, apostilles, adresses dorsales, mentions hors teneur </strong>seront signalées dans l’apparat critique.</p>
<p><strong>II.   La transcription</strong></p>
<p><strong>1. </strong>En règle générale, il est <strong>inutile de numéroter les lignes </strong>du document édité. Si l’on juge indispensable de procéder à cette signalisation (dans le cas d’un document très abîmé, par exemple), on indiquera les numéros des lignes entre crochets  [ ]. <De même si on choisit d’indiquer au fil du texte les numéros de feuillet.></p>
<p><strong>2. Graphie. — </strong>La graphie du document doit être rigoureusement respectée. Toutefois, les lettres <em>i </em>et <em>u </em>ayant valeur de consonne seront en principe transcrites respectivement par <em>j </em>et <em>v</em>. Les textes ou passages chiffrés seront <si possible> décryptés.</p>
<p><strong>3. Transcription des nombres. — </strong>En règle générale, les nombres seront reproduits tels qu’ils se présentent dans le document (en toutes lettres, en chiffres romains ou arabes). Toutefois, dans les comptes ou autres documents financiers, il est recommandé de transcrire en chiffres arabes les données exprimées en chiffres romains.</p>
<p><strong>4. Lacunes. — </strong>Les passages effacés ou détruits, les lettres ou mots omis accidentellement par le scribe seront restitués entre crochets dans la mesure du possible (à l’aide du sens ou d’une copie, par exemple). En cas d’impossibilité de reconstitution du texte, ces passages seront représentés par des points de suspension, également placés entre crochets […].</p>
<p><strong>5. Abréviations. — </strong>Les abréviations doivent être développées, sans qu’il soit nécessaire d’indiquer de façon apparente les lettres restituées. Toutefois, dans certains cas ambigus, il peut être préférable de reproduire tel quel un mot abrégé : par exemple <em>s</em><em><sup>r</sup></em> (sieur ou seigneur ?), <em>mons</em><em><sup>r</sup></em> (monsieur ou monseigneur ?), <em>m</em><em><sup>e</sup></em> (maître ou messire ?). D’autres abréviations courantes et aisément intelligibles pourront de même être conservées (<em>led., lad.</em> <ledit, ladite><em>, l. </em><ou £> [livre],<em> s. </em>[sol],<em> d. </em>[denier], <etc.>). Pour résoudre les abréviations, on se référera autant que possible aux graphies clairement attestées dans d’autres parties du texte édité <ou à la même époque et dans le même milieu>.</p>
<p><strong>6. Séparation des mots. — </strong>Les mots agglutinés seront séparés (par exemple, <em>treshumble </em>sera transcrit <em>tres humble</em>). En revanche, les locutions qui, par la suite, se sont soudées pour ne former qu’un seul mot (il s’agit essentiellement de futurs adverbes et conjonctions : <em>aussi tôt, en fin, long tems, lors que, par tout, sur tout, tous jours</em>) ne seront pas réunies.</p>
<p><strong>7. Accentuation. — </strong>En matière d’accentuation, il convient d’appliquer à chaque corpus de textes un système cohérent inspiré le plus possible des usages graphiques et typographiques du temps. Concrètement, il paraît sage de distinguer trois périodes :</p>
<p><em>a) </em><em>Le XVI</em><em><sup>e</sup></em> <em>siècle (jusque vers les années 1580).</em> On appliquera aux textes du XVI<sup>e</sup> siècle les normes fixées pour l’édition des textes médiévaux. Seul l’accent aigu sera utilisé sur la lettre <em>e</em> pour distinguer <em>e</em> tonique de <em>e</em> atone en monosyllabe ou en syllabe finale (n<strong>é</strong>, tomb<strong>é</strong>, vous av<strong>é</strong>s, apr<strong>é</strong>s, proc<strong>é</strong>s). On n’accentuera pas les finales en -ee (n<strong>ee</strong>, arm<strong>ee</strong>). <On emploiera l’accent grave seulement sur les lettres <em>a</em>, <em>e</em> et <em>u</em>, dans les prépositions et les adverbes monosyllabiques, pour les distinguer des mots homographes (à, là, dès, lès, où)>.</p>
<p><em>b) </em><em>Le XVII</em><em><sup>e</sup></em><em> siècle (vers 1580-vers 1715).</em> Pour l’édition des documents du XVII<sup>e</sup> siècle, les accents peuvent être plus largement utilisés. En particulier, on accentuera les finales en <em>ée</em> (n<strong>é</strong>e, arm<strong>é</strong>e). En revanche, on n’accentuera pas la lettre <em>e</em> à l’intérieur d’un mot<em> (</em>mani<strong>e</strong>re, p<strong>e</strong>re, pr<strong>e</strong>sent<em>).</em></p>
<p><em>c) </em><em>Le XVIII</em><em><sup>e</sup></em> <em>siècle</em><em>.</em> Pour les documents du XVIII<sup>e</sup> siècle, on appliquera l’usage actuel.</p>
<p><strong>8. Autres signes orthographiques. — </strong>Le tréma, la cédille, l’apostrophe seront introduits et utilisés conformément à l’usage actuel, même pour des textes du XVI<sup>e</sup> siècle. Inversement, on supprimera le tréma s’il figure sur des mots qui n’en comportent plus aujourd’hui (ex.: <em>queüe, veü)</em>. On emploiera le trait d’union avec modération.</p>
<p><strong>9. Ponctuation, majuscules et minuscules. — </strong>On appliquera dans tous les cas les règles actuelles, sans tenir compte de la pratique du scribe.</p>
<p><strong>10. Alinéas. — </strong>En principe, la disposition du texte sera respectée. Toutefois, il peut être utile d’introduire des alinéas dans des développements trop longs ou trop compacts.</p>
<p><strong>III.  L’apparat critique</strong></p>
<p>Chaque pièce d’un recueil de documents (actes officiels, correspondances, actes notariés) doit être enchâssée dans un apparat critique comportant :</p>
<p>— le numéro d’ordre ;</p>
<p>— s’il s’agit de lettres, les noms du signataire et du destinataire (ou celui du destinataire seul s’il s’agit d’un recueil de lettres du même auteur) ;</p>
<p>— la date de temps et de lieu exprimée suivant le comput moderne ;</p>
<p>— le sommaire du document ;</p>
<p>— le « tableau de la tradition » (sous une forme moins sophistiquée que pour les documents du haut Moyen Age) ;</p>
<p>— éventuellement les mentions hors teneur, l’adresse et les analyses dorsales (si elles présentent de l’intérêt) ;</p>
<p>— des notes historiques et critiques.</p>","Thursday, October 9, 2014 - 10:21","Tuesday, February 9, 2016 - 16:40","Yes","/content/transcribing-editing-conventions"
"22","Teaching","100","<p><span style=""line-height: 18.9091px;"">If you have suggestions for how to use materials in this website for course units, please post them on our <a href=""https://groups.google.com/forum/?hl=en#!forum/french-renaissance-paleography"">discussion forum</a>.</span></p>
<p>Below are a few ideas to start with.</p>
<p>~</p>
<p>Many of the manuscripts in the site may be used to introduce subjects in French civilization, history, language, and literature:</p>
<p><strong>People</strong><br /><a href=""http://paleography.library.utoronto.ca/islandora/object/paleography:461#page/1/mode/1up"">Mary, Queen of Scots</a> and <a href=""http://paleography.library.utoronto.ca/islandora/object/paleography:430#page/1/mode/1up"">Queen Elizabeth I</a><br /><a href=""http://paleography.library.utoronto.ca/islandora/object/paleography:1817#page/1/mode/1up"">William the Conqueror</a><br /><a href=""https://paleography.library.utoronto.ca/islandora/search/catch_all_fields_mt%3A%28%22Henry%20II%22%29"">King Henry II of France and Catherine de Medici</a><br /><a href=""https://paleography.library.utoronto.ca/islandora/search/catch_all_fields_mt%3A%28king%20queen%29"">Kings and Queens</a></p>
<p> </p>
<p><strong>Places</strong><br /><a href=""https://paleography.library.utoronto.ca/islandora/search/bordeaux?type=dismax"">Bordeaux</a><br /><a href=""https://paleography.library.utoronto.ca/islandora/search/catch_all_fields_mt%3A%28loire%20valley%29?f[0]=-entity_type%3A%22node%22&sort=mods_originInfo_qualifier_approximate_dateIssued_s%20asc"">Châteaux of the Loire Valley</a><br /><a href=""https://paleography.library.utoronto.ca/islandora/search/new%20france?type=dismax&f%5B0%5D=mods_subject_geographic_ms%3A%22New\%20France%22"">New France</a><br /><a href=""https://paleography.library.utoronto.ca/islandora/search/catch_all_fields_mt%3A%28Auvergne%29?f[0]=-entity_type%3A%22node%22"">Village life in Auvergne</a></p>
<p> </p>
<p><strong>Topics</strong><br /><a href=""https://paleography.library.utoronto.ca/islandora/object/paleography:calligraphybooks"">Calligraphy</a><br /><a href=""http://dcc.newberry.org/collections/daily-life-in-early-modern-france"">Daily life</a> (Digital Collections for the Classroom)<br /><a href=""http://paleography.library.utoronto.ca/islandora/object/paleography:447#page/1/mode/1up"">Fur trade in New France</a> (see also <a href=""http://paleography.library.utoronto.ca/islandora/object/paleography%3A384"">Champlain map</a>)<br /><a href=""https://paleography.library.utoronto.ca/islandora/search/catch_all_fields_mt%3A%28%22hundred%20years%20war%22%29"">Hundred Years War</a><a href=""https://paleography.library.utoronto.ca/islandora/search/catch_all_fields_mt%3A%28%22hundred%20years%20war%22%29?f[0]=-entity_type%3A%22node%22&sort=mods_originInfo_qualifier_approximate_dateIssued_s%20asc""> (1337-1453)</a><br /><a href=""https://paleography.library.utoronto.ca/islandora/search/catch_all_fields_mt%3A%28warfare%29?f[0]=-entity_type%3A%22node%22&sort=mods_originInfo_qualifier_approximate_dateIssued_s%20desc"">Warfare and fortresses</a><br /><a href=""https://paleography.library.utoronto.ca/islandora/search/catch_all_fields_mt%3A%28marriage%29?sort=mods_originInfo_qualifier_approximate_dateIssued_s%20asc"">Women and marriage in <em>Ancien Régime</em> France</a><br /><a href=""https://paleography.library.utoronto.ca/islandora/search/devotional?type=dismax"">Spiritual life</a></p>
<p> </p>
<p><strong>Language & Literature</strong><br /><a href=""https://paleography.library.utoronto.ca/islandora/search/catch_all_fields_mt%3A%28Historiography%29?sort=mods_originInfo_qualifier_approximate_dateIssued_s%20asc"">Historiography</a><br /><a href=""https://paleography.library.utoronto.ca/islandora/search/catch_all_fields_mt%3A%28foreign%29?sort=mods_originInfo_qualifier_approximate_dateIssued_s%20asc"">French outside France</a><br /><a href=""https://paleography.library.utoronto.ca/islandora/search/arthurian?type=dismax"">King Arthur and the Knights of the Round Table</a><br /><a href=""https://paleography.library.utoronto.ca/islandora/search/catch_all_fields_mt%3A%28narrative%29?sort=mods_originInfo_qualifier_approximate_dateIssued_s%20asc"">Romances, novels and tales</a></p>
<p> </p>
<p><strong>Diplomatic Descriptions</strong></p>
<p>Students in a French language or literature class could be given the assignment of writing formal diplomatic descriptions of documents included in this site or elsewhere. Click <a href=""/sites/default/files/diplomatic_description.png"">here</a> to see a model.</p>
<p> </p>
<p><strong>Sound recordings</strong></p>
<p>For four of the manuscript documents included in this site, we have provided a recording of a portion of the text. You will find a link to the recording in the Notes field in the metadata for each of these manuscripts:</p>
<ul><li>
<p><a href=""/islandora/object/paleography:429"">Harangue faicte à la Royne mere du Roy à Poictiers par le seigneur de Salevert, presidial de ladicte ville, le lendemain de son arrivée qui fut le vingt huictiesme novembre 1575</a></p>
</li>
<li>
<p><a href=""/islandora/object/paleography:443"">Investiture de l'Ile d'Orléans donnée au procureur des concessionnaires par le gouverneur général de la Nouvelle-France</a></p>
</li>
<li>
<p><a href=""/islandora/object/paleography:404"">Les xv joyes Nostre Dame</a></p>
</li>
<li>
<p><a href=""https://paleography.library.utoronto.ca/islandora/object/paleography:462#003a7648-d745-4300-94e9-3bddea9a292f"">Jehan Marion, <em>V</em></a><em><a href=""/islandora/object/paleography:462"">ers d'amour</a></em></p>
</li>
</ul><p> </p>","Thursday, October 9, 2014 - 10:21","Friday, February 12, 2016 - 14:02","Yes","/content/teaching"
