"Nid","Title","PID","T-PEN URI","Author UID","Post Date","Updated Date","Published status"
"926","Harangue faicte à la Royne mere du Roy à Poictiers par le seigneur de Salevert, presidial de ladicte ville, le lendemain de son arrivée qui fut le vingt huictiesme novembre 1575 (paleography:429)","paleography:429","","782","Friday, January 22, 2016 - 22:00","Friday, January 22, 2016 - 22:00","Yes"
"928","Harangue faicte à la Royne mere du Roy à Poictiers par le seigneur de Salevert, presidial de ladicte ville, le lendemain de son arrivée qui fut le vingt huictiesme novembre 1575 (paleography:429)","paleography:429","https://transcribe-stg.library.utoronto.ca/paleography/project/344
","782","Friday, January 22, 2016 - 22:10","Friday, January 22, 2016 - 22:10","Yes"
"930","Discours et harangue des ambassadeurs du Roy avec ceulx d'Angleterre touchant le pourparler du mariage d'entre monseigneur le duc d'Anjou et d'Alençon avec la Royne d'Angleterre (paleography:430)","paleography:430","https://transcribe-stg.library.utoronto.ca/paleography/project/348
","782","Friday, January 22, 2016 - 22:10","Friday, January 22, 2016 - 22:10","Yes"
"933","De l'occasion et de la fortune (paleography:450)","paleography:450","https://transcribe-stg.library.utoronto.ca/paleography/project/349
","782","Friday, January 22, 2016 - 22:11","Friday, January 22, 2016 - 22:11","Yes"
"934","Letter of John Stanlawe to John Randulf, viscount of Caen, regarding a program of repairs to be made at the castle of Caen (paleography:432)","paleography:432","https://transcribe-stg.library.utoronto.ca/paleography/project/350
","782","Friday, January 22, 2016 - 22:11","Friday, January 22, 2016 - 22:11","Yes"
"935","Harangue faicte à la Royne mere du Roy à Poictiers par le seigneur de Salevert, presidial de ladicte ville, le lendemain de son arrivée qui fut le vingt huictiesme novembre 1575 (paleography:429)","paleography:429","https://transcribe-stg.library.utoronto.ca/paleography/project/352
","782","Friday, January 22, 2016 - 22:28","Friday, January 22, 2016 - 22:28","Yes"
"939","Marriage contract of Sauveur de Lombard and Antoinette de Geoffroy (paleography:464)","paleography:464","https://transcribe-stg.library.utoronto.ca/paleography/project/360
","782","Sunday, January 24, 2016 - 10:10","Sunday, January 24, 2016 - 10:10","Yes"
"941","A nosseigneurs de la Cour des Aydes [calligraphy sample: mock legal document] (paleography:418)","paleography:418","https://transcribe-stg.library.utoronto.ca/paleography/project/361
","782","Sunday, January 24, 2016 - 10:15","Sunday, January 24, 2016 - 10:15","Yes"
"942","Account book (paleography:2070)","paleography:2070","https://transcribe-stg.library.utoronto.ca/paleography/project/366
","1","Sunday, January 24, 2016 - 13:36","Sunday, January 24, 2016 - 13:36","Yes"
"943","Censier du seizième siècle pour la paroisse de Payns, bailliage de Troyes (paleography:465)","paleography:465","https://transcribe-stg.library.utoronto.ca/paleography/project/367
","1","Sunday, January 24, 2016 - 13:42","Sunday, January 24, 2016 - 13:42","Yes"
"949","Charitable donation of land to benefit the poor of Quebec City (paleography:473)","paleography:473","https://transcribe.library.utoronto.ca/paleography/project/423
","782","Sunday, January 24, 2016 - 19:09","Sunday, January 24, 2016 - 19:09","Yes"
"951","De l'occasion et de la fortune (paleography:450)","paleography:450","https://transcribe.library.utoronto.ca/paleography/project/425
","1","Sunday, January 24, 2016 - 19:19","Sunday, January 24, 2016 - 19:19","Yes"
"955","A nosseigneurs de la Cour des Aydes [calligraphy sample: mock legal document] (paleography:418)","paleography:418","https://transcribe.library.utoronto.ca/paleography/project/432
","1","Sunday, January 24, 2016 - 19:22","Sunday, January 24, 2016 - 19:22","Yes"
"957","Letter: Residence de la Conception-aux-Hurons, to M. le curé de St. Martin, à Beauvais [France], 1639 May 25 (paleography:444)","paleography:444","https://transcribe-stg.library.utoronto.ca/paleography/project/437
","782","Sunday, January 24, 2016 - 19:37","Sunday, January 24, 2016 - 19:37","Yes"
